subbasin,precip,maat
X449,1916.50321428571,6.16147152534942
X450,1609.0925,7.0769066840974
X451,666.7775,9.69649223904698
X452,683.581428571429,9.68640300546448
X453,1214.29464285714,7.14437860511373
X454,1231.4575,7.2291161121983
X455,1018.22357142857,7.9226489044304
X456,676.3825,9.67414502796403
X457,911.722857142857,8.28138277298343
X458,878.735357142857,8.42852673157743
X459,690.206071428571,9.90132862810518
X460,1645.90107142857,6.42706851721151
X461,951.503214285714,8.09652889437832
X462,1737.24892857143,6.60538138280239
X463,702.284285714286,9.4237046854448
X464,674.6775,9.70563731245923
X465,1219.58035714286,7.17897200656593
X466,1187.42035714286,7.29300448066044
X467,710.713928571429,9.33228962550661
X468,1631.64785714286,6.15848752579855
X469,1647.54928571429,6.99831893961267
X470,929.601071428571,8.19387841530055
X471,896.464285714286,8.47520195053094
X472,1653.06214285714,6.95435511105408
X473,1592.39214285714,6.83704168137051
X474,795.918571428571,8.86656032583705
X475,677.955357142857,9.74923023536834
X476,700.889285714286,9.36661232930181
X477,1678.29571428571,6.81493374985296
X478,1150.365,7.4229357682889
X479,915.269642857143,8.69200558745843
X480,670.758571428571,9.69550287125854
X481,1722.56107142857,6.71494668388352
X482,1001.64321428571,8.08610923080214
X483,691.151071428571,9.59110836193898
X484,677.238571428571,9.65923048399688
X485,1020.52571428571,8.00388454813769
X486,675.255,9.65857957182424
X487,1015.48785714286,8.00688007549752
X488,965.217857142857,8.1291788414445
X489,677.339285714286,9.64588027867783
X490,1693.1125,6.82443780811224
X491,689.4225,9.56882451905083
X492,1025.35964285714,8.01308695849775
X493,1614.33928571429,6.22550320008983
X494,689.765,9.52168295049886
X495,690.211071428571,9.81922615037481
X496,689.153571428571,9.92213134002759
X497,1935.04071428571,6.03393260830045
X498,857.305357142857,8.53634729663255
X499,821.826071428571,8.73245135168372
X500,713.404285714286,9.35874289670955
X501,996.902142857143,8.06487648776106
X502,704.5825,9.93227137403356
X503,1227.57035714286,7.32387700907895
X504,1183.875,7.82557461529413
X505,1626.0275,6.64711079742923
X506,684.723214285714,9.65722985306856
X507,1564.21035714286,7.20406172136494
X508,1102.41142857143,7.67251930747597
X509,1029.19892857143,7.88059637162747
X510,857.254642857143,8.68161185075872
X511,1581.56892857143,7.04150376952937
X512,1274.32571428571,7.47749428689059
X513,686.208214285714,9.54488608268369
X514,1214.57642857143,7.24084141242394
X515,690.863214285714,9.58098431501502
X516,1078.3225,7.78981720990664
X517,686.891071428571,9.62064757306471
X518,1723.87035714286,6.80747469603157
X519,709.25,9.39435397484842
X520,682.447142857143,9.74526435629271
X521,688.518571428571,9.79574619838953
X522,877.932857142857,8.77726270946286
X523,1143.56,7.53122884786073
X524,706.677857142857,9.95869497556489
X525,902.318571428571,8.52925783046208
X526,765.277857142857,9.03232169056709
