"subbasin","opcat_id","opcat_name"
5556,3309,"Middle and Lower Ure"
5557,3387,"Rye"
5558,3505,"Upper Ure"
5559,3387,"Rye"
5560,3283,"Lower Swale"
5561,3387,"Rye"
5562,3387,"Rye"
5563,3489,"Upper Derwent Yorkshire"
5564,3283,"Lower Swale"
5565,3489,"Upper Derwent Yorkshire"
5566,3507,"Upper Wharfe"
5567,3309,"Middle and Lower Ure"
5568,3507,"Upper Wharfe"
5569,3309,"Middle and Lower Ure"
5570,3283,"Lower Swale"
5571,3387,"Rye"
5572,3283,"Lower Swale"
5573,3489,"Upper Derwent Yorkshire"
5574,3507,"Upper Wharfe"
5575,3507,"Upper Wharfe"
5576,3489,"Upper Derwent Yorkshire"
5577,3489,"Upper Derwent Yorkshire"
5578,3387,"Rye"
5579,3283,"Lower Swale"
5580,3505,"Upper Ure"
5581,3497,"Upper Nidd"
5582,3309,"Middle and Lower Ure"
5583,3507,"Upper Wharfe"
5584,3387,"Rye"
5585,3507,"Upper Wharfe"
5586,3505,"Upper Ure"
5587,3283,"Lower Swale"
5588,3387,"Rye"
5589,3309,"Middle and Lower Ure"
5590,3309,"Middle and Lower Ure"
5591,3507,"Upper Wharfe"
5592,3283,"Lower Swale"
5593,3489,"Upper Derwent Yorkshire"
5594,3309,"Middle and Lower Ure"
5595,3309,"Middle and Lower Ure"
5596,3387,"Rye"
5597,3489,"Upper Derwent Yorkshire"
5598,3507,"Upper Wharfe"
5599,3309,"Middle and Lower Ure"
5600,3505,"Upper Ure"
5601,3489,"Upper Derwent Yorkshire"
5602,3489,"Upper Derwent Yorkshire"
5603,3309,"Middle and Lower Ure"
5604,3283,"Lower Swale"
5605,3283,"Lower Swale"
5606,3387,"Rye"
5607,3489,"Upper Derwent Yorkshire"
5608,3309,"Middle and Lower Ure"
5609,3387,"Rye"
5610,3387,"Rye"
5611,3387,"Rye"
5612,3489,"Upper Derwent Yorkshire"
5613,3507,"Upper Wharfe"
5614,3489,"Upper Derwent Yorkshire"
5615,3309,"Middle and Lower Ure"
5616,3387,"Rye"
5617,3489,"Upper Derwent Yorkshire"
5618,3283,"Lower Swale"
5619,3489,"Upper Derwent Yorkshire"
5620,3387,"Rye"
5621,3387,"Rye"
5622,3309,"Middle and Lower Ure"
5623,3283,"Lower Swale"
5624,3387,"Rye"
5625,3489,"Upper Derwent Yorkshire"
5626,3283,"Lower Swale"
5627,3283,"Lower Swale"
5628,3505,"Upper Ure"
5629,3387,"Rye"
5630,3309,"Middle and Lower Ure"
5631,3489,"Upper Derwent Yorkshire"
5632,3309,"Middle and Lower Ure"
5633,3387,"Rye"
5634,3387,"Rye"
5635,3505,"Upper Ure"
5636,3505,"Upper Ure"
5637,3283,"Lower Swale"
5638,3489,"Upper Derwent Yorkshire"
5639,3507,"Upper Wharfe"
5640,3507,"Upper Wharfe"
5641,3283,"Lower Swale"
5642,3283,"Lower Swale"
5643,3497,"Upper Nidd"
5644,3489,"Upper Derwent Yorkshire"
5645,3283,"Lower Swale"
5646,3387,"Rye"
5647,3387,"Rye"
5648,3387,"Rye"
5649,3489,"Upper Derwent Yorkshire"
5650,3309,"Middle and Lower Ure"
5651,3283,"Lower Swale"
5652,3283,"Lower Swale"
5653,3387,"Rye"
5654,3309,"Middle and Lower Ure"
5655,3309,"Middle and Lower Ure"
5656,3387,"Rye"
5657,3507,"Upper Wharfe"
5658,3497,"Upper Nidd"
5659,3489,"Upper Derwent Yorkshire"
5660,3507,"Upper Wharfe"
5661,3283,"Lower Swale"
5662,3387,"Rye"
5663,3507,"Upper Wharfe"
5664,3283,"Lower Swale"
5665,3387,"Rye"
5666,3507,"Upper Wharfe"
5667,3387,"Rye"
5668,3489,"Upper Derwent Yorkshire"
5669,3387,"Rye"
5670,3489,"Upper Derwent Yorkshire"
5671,3283,"Lower Swale"
5672,3489,"Upper Derwent Yorkshire"
5673,3387,"Rye"
5674,3283,"Lower Swale"
5675,3507,"Upper Wharfe"
5676,3507,"Upper Wharfe"
5677,3505,"Upper Ure"
5678,3283,"Lower Swale"
5679,3507,"Upper Wharfe"
5680,3507,"Upper Wharfe"
5681,3387,"Rye"
5682,3507,"Upper Wharfe"
5683,3309,"Middle and Lower Ure"
